UNIDADE,CRITERIO,ALINEA,OPORTUNIDADE DE MELHORIA,INSTRUMENTO,O QUE,COMO
DTIC,Gestão de Tecnologia da Informação e da Segurança da Informação,c) é realizada a gestão de riscos de cada um dos projetos de alta materialidade ou alta relevância.,Ampliar e melhorar a gestão de riscos em todos os projetos,iESGo - TCU,Incorporar a Gestão de Riscos na rotina e na gestão de projetos,Fazendo boa gestão de projetos e produtos e promovendo o constante monitoramento e implementando melhorias
DTIC,Gestão de Tecnologia da Informação e da Segurança da Informação,c) é realizada a gestão de riscos de cada um dos projetos de alta materialidade ou alta relevância.,Ampliar e melhorar a gestão de riscos em todos os projetos,iESGo - TCU,Incorporar a Gestão de Riscos na rotina e na gestão de projetos,Fazendo boa gestão de projetos e produtos e promovendo o constante monitoramento e implementando melhorias
DTIC,Gestão de Tecnologia da Informação e da Segurança da Informação,c) é realizada a gestão de riscos de cada um dos projetos de alta materialidade ou alta relevância.,Ampliar e melhorar a gestão de riscos em todos os projetos,iESGo - TCU,Incorporar a Gestão de Riscos na rotina e na gestão de projetos,Fazendo boa gestão de projetos e produtos e promovendo o constante monitoramento e implementando melhorias
DTIC,Gestão de Tecnologia da Informação e da Segurança da Informação,c) é realizada a gestão de riscos de cada um dos projetos de alta materialidade ou alta relevância.,Ampliar e melhorar a gestão de riscos em todos os projetos,iESGo - TCU,Incorporar a Gestão de Riscos na rotina e na gestão de projetos,Fazendo boa gestão de projetos e produtos e promovendo o constante monitoramento e implementando melhorias
DTIC,Gestão de Tecnologia da Informação e da Segurança da Informação,c) é realizada a gestão de riscos de cada um dos projetos de alta materialidade ou alta relevância.,Ampliar e melhorar a gestão de riscos em todos os projetos,iESGo - TCU,Incorporar a Gestão de Riscos na rotina e na gestão de projetos,Fazendo boa gestão de projetos e produtos e promovendo o constante monitoramento e implementando melhorias
DTIC,Gestão de Tecnologia da Informação e da Segurança da Informação,c) é realizada a gestão de riscos de cada um dos projetos de alta materialidade ou alta relevância.,Ampliar e melhorar a gestão de riscos em todos os projetos,iESGo - TCU,Incorporar a Gestão de Riscos na rotina e na gestão de projetos,Fazendo boa gestão de projetos e produtos e promovendo o constante monitoramento e implementando melhorias
UGSTI,Gestão de Tecnologia da Informação e da Segurança da Informação,b) a resolução de incidentes considera os níveis de serviços especificados em acordos com as áreas clientes.,Dar visibilidade do SLA ,iESGo - TCU,Gestão de Incidentes ,Ampla divulgação com as equipes responsáveis e acompanhamento do SLA diariamente.
UGSTI,Gestão de Tecnologia da Informação e da Segurança da Informação,b) a resolução de incidentes considera os níveis de serviços especificados em acordos com as áreas clientes.,Revisar e formalizar os SLA,iESGo - TCU,Gestão de Incidentes ,"Análise do desempenho atual, Agendas entre as Unidades, feedback com a equipe."
UGSTI,Gestão de Tecnologia da Informação e da Segurança da Informação,"c) há base(s) de conhecimento que registra(m) erros conhecidos e problemas, de modo a tornar eficiente e efetiva a resolução de incidentes.",Formalizar a base de conhecimento sobre erros no servicenow,iESGo - TCU,Gestão de Problemas,Ampla divulgação com as equipes responsáveis e acompanhamento do SLA diariamente.
UGITI,Gestão de Tecnologia da Informação e da Segurança da Informação,"f) a organização implementa cópias regulares de segurança (backup) das informações em meio digital, conforme as melhores práticas e as necessidades de negócio, incluindo a realização periódica de testes de recuperação das informações.",Estabelecer prática periódica de recuperação de backup,iESGo - TCU,,
UGGDC,Gestão de Tecnologia da Informação e da Segurança da Informação,"a) a organização mantém um inventário dos ativos associados à informação e identifica as informações críticas que os ativos armazenam, processam ou transmitem.","Descobrir, classificar e inventariar ativos de informação",iESGo - TCU,"Estruturar processo contínuo para identificar, avaliar, priorizar e mitigar as vulnerabilidades em sistemas de computadores, redes, aplicativos e outros ativos de tecnologia da informação.","Identificar Vulnerabilidades por meio das ferramentas ou recepcionar vulnerabilidades indentificadas e reportadas por terceiros , avaliando/mitigando os risco que representam e priorizando cada uma delas.
"
